date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:09:28	781/781	---M--	200	added ('OK')	image/png	etag:%2230d-5e3661b6f4680%22	http://3.37.186.116/email-template/images/linkedin-blacksrc="{% static "{% static '\1' %}"	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/email-template/images/linkedin-blacksrc="{% static "{% static '\1' %}"	(from http://3.37.186.116/email-template/email-order-success2.html)
21:09:30	12710/12710	---M--	200	added ('OK')	image/jpeg	etag:%2231a6-5e3661bcad400%22	http://3.37.186.116/email-template/images/650x400.jpg	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/email-template/images/650x400.jpg	(from http://3.37.186.116/email-template/email-forgot-password.html)
21:09:30	12319/12319	---M--	200	added ('OK')	image/jpeg	etag:%22301f-5e3661bac4f80%22	http://3.37.186.116/email-template/images/email-promotional1.jpg	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/email-template/images/email-promotional1.jpg	(from http://3.37.186.116/email-template/email-promotional1.html)
21:09:32	6219/6219	---M--	200	added ('OK')	image/jpeg	etag:%22184b-5e3661b8dcb00%22	http://3.37.186.116/email-template/images/collection-1.jpg	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/email-template/images/collection-1.jpg	(from http://3.37.186.116/email-template/email-promotional2.html)
21:09:33	6310/6310	---M--	200	added ('OK')	image/jpeg	etag:%2218a6-5e3661bac4f80%22	http://3.37.186.116/email-template/images/email-promotional2.jpg	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/email-template/images/email-promotional2.jpg	(from http://3.37.186.116/email-template/email-promotional2.html)
21:09:33	18060/18060	---M--	200	added ('OK')	image/jpeg	etag:%22468c-5e3661b6f4680%22	http://3.37.186.116/email-template/images/product-1.jpg	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/email-template/images/product-1.jpg	(from http://3.37.186.116/email-template/email-promotional1.html)
21:09:33	3556/3556	---M--	200	added ('OK')	text/css	etag:%22de4-5e3661a7b2280%22	http://3.37.186.116/assets/css/prismjs-clipboard.css	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/assets/css/prismjs-clipboard.css	(from http://3.37.186.116/elements-typography.html)
21:09:35	127987/127987	---M--	200	added ('OK')	text/html	etag:%221f3f3-5f5c658b2dd00%22	http://3.37.186.116/elements-header-styles.html	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/elements-header-styles.html	(from http://3.37.186.116/elements-typography.html)
21:09:37	103874/103874	---M--	200	added ('OK')	text/html	etag:%22195c2-5f5c658945880%22	http://3.37.186.116/elements-breadcrumb.html	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/elements-breadcrumb.html	(from http://3.37.186.116/elements-typography.html)
21:09:38	133107/133107	---M--	200	added ('OK')	text/html	etag:%22207f3-5f5c658b2dd00%22	http://3.37.186.116/elements-slider-styles.html	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/elements-slider-styles.html	(from http://3.37.186.116/elements-typography.html)
21:09:40	125321/125321	---M--	200	added ('OK')	text/html	etag:%221e989-5f5c658b2dd00%22	http://3.37.186.116/elements-footer-styles.html	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/elements-footer-styles.html	(from http://3.37.186.116/elements-typography.html)
21:09:42	22033/22033	---M--	200	added ('OK')	application/javascript	etag:%225611-5e3661a011080%22	http://3.37.186.116/assets/js/vendor/prismjs-clipboard.js	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/assets/js/vendor/prismjs-clipboard.js	(from http://3.37.186.116/elements-typography.html)
21:09:46	3062/3062	---M--	200	added ('OK')	image/jpeg	etag:%22bf6-5e36614ff5380%22	http://3.37.186.116/assets/images/about/about-team1.jpg	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/assets/images/about/about-team1.jpg	(from http://3.37.186.116/aboutus-style1.html)
21:09:47	7991/7991	---M--	200	added ('OK')	image/jpeg	etag:%221f37-5e36614ff5380%22	http://3.37.186.116/assets/images/about/about-info-s1.jpg	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/assets/images/about/about-info-s1.jpg	(from http://3.37.186.116/aboutus-style1.html)
21:09:48	2418/2418	---M--	200	added ('OK')	application/javascript	etag:%22972-5e36619a58300%22	http://3.37.186.116/assets/js/ajax_sendmail.js	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/assets/js/ajax_sendmail.js	(from http://3.37.186.116/contact-style1.html)
21:09:48	6094/6094	---M--	200	added ('OK')	image/jpeg	etag:%2217ce-5e36614ff5380%22	http://3.37.186.116/assets/images/about/about-info-s2-1.jpg	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/assets/images/about/about-info-s2-1.jpg	(from http://3.37.186.116/aboutus-style2.html)
21:09:49	4345/4345	---M--	200	added ('OK')	image/jpeg	etag:%2210f9-5e36614854180%22	http://3.37.186.116/assets/images/lookbook/lookbook-s1-1.jpg	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/assets/images/lookbook/lookbook-s1-1.jpg	(from http://3.37.186.116/lookbook-2columns.html)
21:09:49	5681/5681	---M--	200	added ('OK')	image/jpeg	etag:%221631-5e3661466bd00%22	http://3.37.186.116/assets/images/lookbook/lookbook-s1-2.jpg	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/assets/images/lookbook/lookbook-s1-2.jpg	(from http://3.37.186.116/lookbook-2columns.html)
21:09:49	4363/4363	---M--	200	added ('OK')	image/jpeg	etag:%22110b-5e36614a3c600%22	http://3.37.186.116/assets/images/lookbook/lookbook-s1-3.jpg	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/assets/images/lookbook/lookbook-s1-3.jpg	(from http://3.37.186.116/lookbook-2columns.html)
21:09:50	4744/4744	---M--	200	added ('OK')	image/jpeg	etag:%221288-5e36614854180%22	http://3.37.186.116/assets/images/lookbook/lookbook-s1-4.jpg	C:/Users/alway/OneDrive/Desktop/ecomAllPage/3.37.186.116/assets/images/lookbook/lookbook-s1-4.jpg	(from http://3.37.186.116/lookbook-2columns.html)
